% # columns="iteration, evaluation, void, void, void, xmean", seed=1046063, Wed Oct  8 18:51:15 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 109.20886002052319 102.1311741461123 125.54414607409002 66.03239315780196 7.019152260991838 -19.302721390247832 -11.745067493270463 -16.990299760213873
2 20 0 0 0 124.93146020952598 92.74341152141729 150.13405426022152 69.22999018899199 9.109922690825535 -16.254302877347012 2.722373721332386 -16.88664847111692
3 30 0 0 0 148.4170570096077 91.98609403132902 155.13795419454257 92.21153428064306 2.323522042518735 -10.919810723016436 12.503033739562241 -24.712977590586625
4 40 0 0 0 169.94835962129264 96.28743137979691 152.96716046943706 105.19896207715794 -10.300101611261073 -23.127569179841466 13.850361336537233 -30.415384979558276
5 50 0 0 0 189.15641352255648 87.6334376917209 167.17492010479413 90.33942867027925 7.486454626474884 -12.73111313342148 13.493669139722446 -43.85157229161328
6 60 0 0 0 170.28966349847195 105.28029283344358 170.0383313598965 119.74133126634607 37.03404066446274 0.504559572054883 35.462995266052005 -43.540172708018865
7 70 0 0 0 184.83938124270517 115.24439378518507 185.14686817977292 117.09334804220344 51.12498186345412 16.50075772618832 61.642721961790286 -52.88966097437794
8 80 0 0 0 189.4138926431366 135.44297782714438 183.4420635040136 155.847911842928 55.062142785537986 14.417432006826253 112.34650101401532 -45.15578682848529
9 90 0 0 0 223.62216643825874 123.23748734770709 190.77033768065127 175.01549161752573 76.96032138967615 23.11225345453143 121.72111088099791 -75.0903629683838
10 100 0 0 0 216.98757410433615 141.74456499745807 190.4159105732446 197.43338145620882 89.86825275316212 -6.786428046363416 144.77383599641303 -61.17404774505056
11 110 0 0 0 241.41793489191102 165.39580724075245 203.74376726270344 240.5986456508956 110.68922239478152 -6.486791959847748 189.75384696572212 -61.618180452959585
12 120 0 0 0 224.679915233354 131.23999823472127 222.6454859962156 207.96829595698566 96.80823767243575 -29.13584606892784 152.83876561654367 -57.32378654663696
13 130 0 0 0 245.42156737967514 120.28672882601249 203.4871197777737 207.6132779087818 94.49773931522891 23.34738241624789 194.8595602538823 -51.99407447373983
14 140 0 0 0 255.49596227777494 131.8330643929402 185.6823168771304 214.57545861314716 107.68923164812114 42.96167633653511 183.94717238311733 -44.95858466883096
15 150 0 0 0 239.78846993521424 122.6597974707227 218.41452144920612 222.8131653683197 117.70863033841074 48.82327713515945 172.53052354334088 -55.62493087640987
16 160 0 0 0 268.8559505006052 121.75390652578088 218.84869065336457 232.40968101996523 124.04962745183121 75.57269579164667 209.95572957427677 -41.57032310391004
